"","gene","eigenvalue","pc"
"1","TRINITY_DN61004_c0_g1_i6",0.125142572667843,"PC1"
"2","TRINITY_DN7022_c0_g2_i1",0.127015148546695,"PC1"
"3","TRINITY_DN4797_c0_g1_i5",0.143559109201346,"PC1"
"4","TRINITY_DN18709_c0_g1_i3",0.160286289237895,"PC1"
"5","TRINITY_DN4606_c0_g1_i12",0.193908811412953,"PC1"
"6","TRINITY_DN949_c0_g1_i9",-0.104086941855049,"PC1"
"7","TRINITY_DN91_c0_g1_i2",-0.0983104507102399,"PC1"
"8","TRINITY_DN949_c0_g1_i3",-0.0949534763338598,"PC1"
"9","TRINITY_DN949_c0_g1_i2",-0.0934439685574713,"PC1"
"10","TRINITY_DN1689_c0_g1_i6",-0.0908951529463132,"PC1"
"11","TRINITY_DN8047_c0_g2_i1",0.0693839380208283,"PC2"
"12","TRINITY_DN4797_c0_g1_i5",0.0701204757963098,"PC2"
"13","TRINITY_DN841_c6_g2_i6",0.07501819914394,"PC2"
"14","TRINITY_DN1977_c0_g1_i8",0.0953563316598301,"PC2"
"15","TRINITY_DN949_c0_g1_i9",0.101134402384509,"PC2"
"16","TRINITY_DN6012_c0_g1_i10",-0.103585551026813,"PC2"
"17","TRINITY_DN2748_c0_g1_i3",-0.0972370452501374,"PC2"
"18","TRINITY_DN6012_c0_g1_i1",-0.089889038132491,"PC2"
"19","TRINITY_DN874_c0_g3_i8",-0.0882305957742456,"PC2"
"20","TRINITY_DN589_c1_g1_i3",-0.0844272529620431,"PC2"
"21","TRINITY_DN1960_c0_g1_i9",0.0882867093554668,"PC3"
"22","TRINITY_DN95802_c0_g1_i1",0.0981730902602938,"PC3"
"23","TRINITY_DN4424_c0_g1_i3",0.1061457140542,"PC3"
"24","TRINITY_DN104_c0_g2_i6",0.11534442521386,"PC3"
"25","TRINITY_DN587_c0_g1_i2",0.141996868152369,"PC3"
"26","TRINITY_DN42000_c0_g1_i1",-0.205682301127021,"PC3"
"27","TRINITY_DN42000_c0_g1_i6",-0.180929847084936,"PC3"
"28","TRINITY_DN8047_c0_g2_i1",-0.106392894301017,"PC3"
"29","TRINITY_DN91_c0_g1_i7",-0.0843570346695003,"PC3"
"30","TRINITY_DN3407_c0_g1_i1",-0.0804520702438125,"PC3"
"31","TRINITY_DN4986_c0_g1_i3",0.0733671156445605,"PC4"
"32","TRINITY_DN770_c0_g2_i7",0.0913916987303034,"PC4"
"33","TRINITY_DN4822_c0_g1_i1",0.125624053391016,"PC4"
"34","TRINITY_DN1977_c0_g1_i5",0.126479234679553,"PC4"
"35","TRINITY_DN1977_c0_g1_i2",0.135820549109447,"PC4"
"36","TRINITY_DN949_c0_g1_i9",-0.141167497595243,"PC4"
"37","TRINITY_DN1689_c0_g1_i6",-0.110341914227195,"PC4"
"38","TRINITY_DN4797_c0_g1_i5",-0.109436322732541,"PC4"
"39","TRINITY_DN23540_c0_g1_i3",-0.104671514896662,"PC4"
"40","TRINITY_DN253_c0_g1_i1",-0.0925627805095335,"PC4"
