"","L34.L_S25","L35.L_S31","L37.L_S32","L39.L_S29","L41.L_S27","L44.L_S30","L45.L_S28","L47.L_S33"
"TRINITY_DN4562_c0_g2_i2",1,2,0,3,7,17,10,2
"TRINITY_DN38991_c0_g1_i1",0,0,0,1,2,9,1,5
"TRINITY_DN109163_c0_g1_i1",28,78,68,78,44,63,70,42
"TRINITY_DN4986_c0_g1_i3",92,363,272,279,195,195,277,158
"TRINITY_DN3045_c1_g1_i1",0,3,0,3,9,27,11,4
"TRINITY_DN2166_c0_g1_i6",23,41,30,25,19,13,18,16
"TRINITY_DN5133_c0_g2_i2",0,2,0,6,5,27,12,4
"TRINITY_DN4085_c0_g1_i1",10,13,6,8,5,6,6,6
"TRINITY_DN104_c0_g2_i5",0,19,4,9,0,3,0,4
