"","x"
"1","TRINITY_DN1977_c0_g1_i2"
"2","TRINITY_DN1315_c0_g1_i6"
"3","TRINITY_DN1912_c0_g1_i9"
"4","TRINITY_DN2426_c0_g1_i7"
"5","TRINITY_DN721_c0_g2_i2"
"6","TRINITY_DN944_c5_g1_i3"
"7","TRINITY_DN6200_c0_g2_i3"
"8","TRINITY_DN1745_c1_g1_i1"
"9","TRINITY_DN208_c0_g1_i2"
"10","TRINITY_DN187_c1_g1_i2"
"11","TRINITY_DN7863_c0_g2_i2"
"12","TRINITY_DN6873_c0_g3_i2"
"13","TRINITY_DN3666_c0_g2_i1"
"14","TRINITY_DN3262_c0_g1_i3"
"15","TRINITY_DN6907_c0_g1_i2"
"16","TRINITY_DN8708_c0_g1_i3"
"17","TRINITY_DN760_c0_g1_i9"
"18","TRINITY_DN300_c0_g2_i1"
"19","TRINITY_DN810_c0_g1_i4"
"20","TRINITY_DN715_c0_g1_i3"
"21","TRINITY_DN5956_c0_g1_i2"
"22","TRINITY_DN2385_c0_g2_i1"
"23","TRINITY_DN3058_c0_g1_i1"
"24","TRINITY_DN60650_c0_g1_i2"
"25","TRINITY_DN4970_c0_g1_i2"
"26","TRINITY_DN2770_c0_g1_i4"
"27","TRINITY_DN4424_c0_g1_i3"
